note,Hz,octave
C,16.35,0
C#,17.32,0
D,18.35,0
D#,19.45,0
E,20.6,0
F,21.83,0
F#,23.12,0
G,24.5,0
G#,25.96,0
A,27.5,0
A#,29.14,0
B,30.87,0
C,32.7,1
C#,34.65,1
D,36.71,1
D#,38.89,1
E,41.2,1
F,43.65,1
F#,46.25,1
G,49,1
G#,51.91,1
A,55,1
A#,58.27,1
B,61.74,1
C,65.41,2
C#,69.3,2
D,73.42,2
D#,77.78,2
E,82.41,2
F,87.31,2
F#,92.5,2
G,98,2
G#,103.83,2
A,110,2
A#,116.54,2
B,123.47,2
C,130.81,3
C#,138.59,3
D,146.83,3
D#,155.56,3
E,164.81,3
F,174.61,3
F#,185,3
G,196,3
G#,207.65,3
A,220,3
A#,233.08,3
B,246.94,3
C,261.63,4
C#,277.18,4
D,293.66,4
D#,311.13,4
E,329.63,4
F,349.23,4
F#,369.99,4
G,392,4
G#,415.3,4
A,440,4
A#,466.16,4
B,493.88,4
C,523.25,5
C#,554.37,5
D,587.33,5
D#,622.25,5
E,659.25,5
F,698.46,5
F#,739.99,5
G,783.99,5
G#,830.61,5
A,880,5
A#,932.33,5
B,987.77,5
C,1046.5,6
C#,1108.73,6
D,1174.66,6
D#,1244.51,6
E,1318.51,6
F,1396.91,6
F#,1479.98,6
G,1567.98,6
G#,1661.22,6
A,1760,6
A#,1864.66,6
B,1975.53,6
C,2093,7
C#,2217.46,7
D,2349.32,7
D#,2489,7
E,2637,7
F,2793.83,7
F#,2959.96,7
G,3135.96,7
G#,3322.44,7
A,3520,7
A#,3729.31,7
B,3951,7
C,4186,8
C#,4434.92,8
D,4698.63,8
D#,4978,8
E,5274,8
F,5587.65,8
F#,5919.91,8
G,6271.93,8
G#,6644.88,8
A,7040,8
A#,7458.62,8
B,7902.13,8
